PictureName,DateTime,Irradiance,IrradianceNotCompensated,BodyTemperature,RelativeHumidity,HumidityTemp,Pressure,PressureAvg,PressureTemp,PressureTempAvg,TiltAngle,TiltAngleAvg,FanSpeed,HeaterCurrent,FanCurrent,SunLatitude,SunLongitude,SunAzimuth,SunZenith
Alpnach_20180805_17-29-30_ExposureStack_Image_10_image.png,08/05/2018 19:29:33.744#6659,90.23,89.88,34.82,6.05,36.29,1073.96875,1074.03125,35.85546875,35.86328125,0.15,0.13,8888,0.33,0.066,46.935881,8.27584,281.083994733158,12.8571856967861
Alpnach_20180805_17-30-30_ExposureStack_Image_10_image.png,08/05/2018 19:30:33.569#2435,87.73,87.39,34.84,6.05,36.29,1073.90625,1074.15625,35.91015625,35.89453125,0.13,0.13,8891,0.334,0.066,46.935881,8.27584,281.259020549245,12.6905228137058
Alpnach_20180805_17-09-40_ExposureStack_Image_10_image.png,08/05/2018 19:09:43.619#2825,100.97,100.58,34.92,6.04,36.38,1074.25,1074.28125,35.84375,35.953125,0.14,0.13,8888,0.333,0.065,46.935881,8.27584,277.604659622807,16.1856701368957
Alpnach_20180805_17-39-20_ExposureStack_Image_10_image.png,08/05/2018 19:39:23.569#1589,73.93,73.62,35.29,6.16,36.77,1076.3125,1076.15625,36.4140625,36.38671875,0.17,0.13,8883,0.332,0.066,46.935881,8.27584,282.805327089044,11.2235307334417
Alpnach_20180805_16-17-40_ExposureStack_Image_10_image.png,08/05/2018 18:17:43.591#1434,387.09,385.11,37.09,6.33,38.47,1082.84375,1082.8125,38.15625,38.19140625,0.02,0.14,8850,0.333,0.066,46.935881,8.27584,268.265391977731,25.0270386473067
Alpnach_20180805_16-23-10_ExposureStack_Image_10_image.png,08/05/2018 18:23:13.726#3824,375.53,373.68,36.77,6.26,38.17,1081.3125,1081.53125,37.953125,37.9140625,0.22,0.15,8857,0.331,0.065,46.935881,8.27584,269.278403574577,24.0891630780472
Alpnach_20180805_16-03-50_ExposureStack_Image_10_image.png,08/05/2018 18:03:53.772#9195,176.0,175.06,37.46,6.37,38.87,1083.9375,1084.375,38.59375,38.60546875,0.19,0.14,8847,0.332,0.066,46.935881,8.27584,265.678954967114,27.3835209768456
Alpnach_20180805_16-04-10_ExposureStack_Image_10_image.png,08/05/2018 18:04:13.715#9303,306.33,304.71,37.39,6.37,38.84,1084.09375,1084.28125,38.5625,38.5859375,0.18,0.14,8845,0.334,0.065,46.935881,8.27584,265.742009853776,27.3267905783236
Alpnach_20180805_16-52-20_ExposureStack_Image_10_image.png,08/05/2018 18:52:23.595#34,203.94,203.1,35.31,6.13,36.74,1076.25,1075.96875,36.36328125,36.34765625,0.11,0.14,8879,0.332,0.066,46.935881,8.27584,274.539547599239,19.1211718308125
Alpnach_20180805_16-15-20_ExposureStack_Image_10_image.png,08/05/2018 18:15:23.629#9026,397.3,395.26,37.14,6.37,38.56,1083.09375,1083.21875,38.1875,38.2421875,0.09,0.14,8848,0.332,0.066,46.935881,8.27584,267.833114929511,25.4248595182424
Alpnach_20180805_15-11-00_ExposureStack_Image_10_image.png,08/05/2018 17:11:03.707#1492,543.4,540.52,37.39,6.32,38.78,1083.59375,1084.03125,38.4375,38.5234375,0.16,0.14,8851,0.333,0.065,46.935881,8.27584,255.081479828865,36.2641580857835
